,City,Total Murders,Unsolved Murders,Unsolved Murder %,% Total Asian,% Unsolved Asian,% Total Black,% Unsolved Black,% Total Hispanic,% Unsolved Hispanic,% Total White,% Unsolved White,% Total Other,% Unsolved Other,% Total Unknown,% Unsolved Unknown,lat,lon
21,Las Vegas,1496,620,0.4144385026737968,0.03943850267379679,0.3898305084745763,0.32687165775401067,0.3987730061349693,0.24732620320855614,0.41621621621621624,0.33088235294117646,0.35555555555555557,0.004679144385026738,0.7142857142857143,0.04879679144385027,0.9178082191780822,36.14547359569652,-115.15494296498859
22,Long Beach,409,168,0.41075794621026895,0.12224938875305623,0.46,0.3740831295843521,0.3660130718954248,0.3545232273838631,0.4896551724137931,0.11491442542787286,0.3191489361702128,0.02689486552567237,0.2727272727272727,0.0,,33.80734415873016,-118.17957383465605
23,Los Angeles,2445,1198,0.4899795501022495,0.012678936605316974,0.3548387096774194,0.3922290388548057,0.5203336809176226,0.481799591002045,0.499151103565365,0.0850715746421268,0.38461538461538464,0.025766871165644172,0.31746031746031744,0.001226993865030675,,34.03827603012857,-118.31533252104579
24,Louisville,624,282,0.4519230769230769,0.00641025641025641,0.25,0.6634615384615384,0.5169082125603864,0.03205128205128205,0.65,0.28846153846153844,0.29444444444444445,0.004807692307692308,0.3333333333333333,0.0,,38.21941793582609,-85.76337468330438
25,Memphis,1640,524,0.3195121951219512,0.003658536585365854,0.3333333333333333,0.849390243902439,0.3137114142139268,0.051829268292682924,0.43529411764705883,0.08902439024390243,0.3082191780821918,0.003048780487804878,0.6,0.001829268292682927,,35.11343714960372,-89.97396818527078
26,Miami,806,489,0.6066997518610422,0.0,,0.40818858560794047,0.6930091185410334,0.043424317617866005,0.6857142857142857,0.17990074441687345,0.5655172413793104,0.0012406947890818859,1.0,0.36476426799007444,0.5238095238095238,25.805726807661237,-80.21367977338708
27,Milwaukee,1207,436,0.3612261806130903,0.009113504556752278,,0.7945318972659486,0.38373305526590196,0.0927920463960232,0.2857142857142857,0.09693454846727423,0.2905982905982906,0.004971002485501243,0.3333333333333333,0.0,,43.07082774753363,-87.95266759273554
28,Minneapolis,396,202,0.51010101010101,0.007575757575757576,0.6666666666666666,0.6767676767676768,0.5298507462686567,0.022727272727272728,0.5555555555555556,0.1388888888888889,0.4,0.14646464646464646,0.5172413793103449,0.0025252525252525255,1.0,44.98459715846998,-93.27885844262296
29,Nashville,830,301,0.36265060240963853,0.016867469879518072,0.21428571428571427,0.636144578313253,0.375,0.0,,0.336144578313253,0.34767025089605735,0.008433734939759036,0.2857142857142857,0.0012048192771084338,1.0,36.15936981149276,-86.75575042840141
30,New Orleans,1553,1007,0.6484224082421121,0.0051513200257566,0.375,0.8821635544108177,0.6583941605839416,0.031551835157759174,0.5714285714285714,0.061171925305859624,0.5263157894736842,0.0019317450096587251,1.0,0.01674179008370895,0.8076923076923077,29.97627107656909,-90.04821965013932
31,New York,679,264,0.38880706921944036,0.048600883652430045,0.30303030303030304,0.5596465390279823,0.45263157894736844,0.28865979381443296,0.32653061224489793,0.09720176730486009,0.24242424242424243,0.0,,0.004418262150220913,0.6666666666666666,40.73091568438392,-73.91909918726405
32,Oakland,1025,550,0.5365853658536586,0.0175609756097561,0.2777777777777778,0.7258536585365853,0.5873655913978495,0.1551219512195122,0.5094339622641509,0.055609756097560976,0.19298245614035087,0.0448780487804878,0.34782608695652173,0.0,,37.7802180378036,-122.21608175121432
33,Oklahoma City,728,351,0.48214285714285715,0.006868131868131868,0.6,0.4574175824175824,0.4924924924924925,0.013736263736263736,0.1,0.3173076923076923,0.4199134199134199,0.19230769230769232,0.5928571428571429,0.006868131868131868,0.6,35.4788678758929,-97.5332498458334
34,Omaha,443,182,0.4108352144469526,0.004514672686230248,0.5,0.6049661399548533,0.582089552238806,0.08126410835214447,0.19444444444444445,0.28442437923250563,0.1349206349206349,0.013544018058690745,,0.004514672686230248,0.5,41.27453479022005,-95.97909809266504
35,Philadelphia,3290,1474,0.4480243161094225,0.015805471124620062,0.3269230769230769,0.776595744680851,0.4598825831702544,0.12279635258358662,0.47029702970297027,0.08419452887537994,0.3285198555956679,0.00030395136778115504,1.0,0.0,,39.98939866646906,-75.1614343432147
36,Phoenix,990,546,0.5515151515151515,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,0.5515151515151515,33.49977042592997,-112.10657379310724
37,Pittsburgh,683,365,0.5344070278184481,0.004392386530014641,0.3333333333333333,0.8653001464128843,0.5769881556683587,0.004392386530014641,,0.12152269399707175,0.25301204819277107,0.0029282576866764276,1.0,0.0,,40.450203342630736,-79.9653965461171
38,Richmond,464,122,0.2629310344827586,0.008620689655172414,0.25,0.8771551724137931,0.257985257985258,0.032327586206896554,0.6,0.07327586206896551,0.14705882352941177,0.004310344827586207,1.0,0.0021551724137931034,,37.52934883146853,-77.4465541724942
39,San Antonio,902,388,0.43015521064301554,0.0,,0.21840354767184036,0.4263959390862944,0.5055432372505543,0.44298245614035087,0.15299334811529933,0.37681159420289856,0.11862527716186252,0.45794392523364486,0.0033259423503325942,0.3333333333333333,29.445376743749947,-98.50683551646628
40,Sacramento,407,151,0.371007371007371,0.12776412776412777,0.46153846153846156,0.4201474201474201,0.40350877192982454,0.21621621621621623,0.3068181818181818,0.20638820638820637,0.30952380952380953,0.02457002457002457,0.5,0.0,,38.56248724117647,-121.4671244334225
41,Savannah,266,124,0.46616541353383456,0.0,,0.7631578947368421,0.5024630541871922,0.018796992481203006,0.2,0.17293233082706766,0.3695652173913043,0.0037593984962406013,,0.03383458646616541,0.4444444444444444,32.04098883333333,-81.10550818699188
42,San Bernardino,297,183,0.6161616161616161,0.020202020202020204,0.6666666666666666,0.44107744107744107,0.6412213740458015,0.3872053872053872,0.6086956521739131,0.1111111111111111,0.5454545454545454,0.03367003367003367,0.7,0.0,,34.12303427636364,-117.29175921890904
43,San Diego,499,190,0.3807615230460922,0.0841683366733467,0.4523809523809524,0.32064128256513025,0.43125,0.30060120240480964,0.41333333333333333,0.2685370741482966,0.26119402985074625,0.022044088176352707,0.45454545454545453,0.0,,32.73949468675381,-117.11545477799575
44,San Francisco,718,364,0.5069637883008357,0.054317548746518104,0.3333333333333333,0.520891364902507,0.5828877005347594,0.1935933147632312,0.5467625899280576,0.17409470752089137,0.296,0.054317548746518104,0.5128205128205128,0.0,,37.75409971825036,-122.41493139215682
45,St. Louis,1816,980,0.539647577092511,0.003303964757709251,0.3333333333333333,0.8937224669603524,0.5526802218114603,0.012665198237885462,0.5217391304347826,0.08700440528634361,0.4177215189873418,0.0022026431718061676,0.75,0.0,,38.65466151041862,-90.24067281732066
46,Stockton,481,288,0.5987525987525988,0.07068607068607069,0.6764705882352942,0.3264033264033264,0.5796178343949044,0.46153846153846156,0.6441441441441441,0.10187110187110188,0.3877551020408163,0.033264033264033266,0.75,0.002079002079002079,,37.971638130022605,-121.29323739142207
47,Tampa,225,103,0.4577777777777778,0.0,,0.6577777777777778,0.43243243243243246,0.09777777777777778,0.5909090909090909,0.24,0.48148148148148145,0.0,,0.0,,27.993137087499992,-82.44378077836535
48,Tulsa,632,208,0.3291139240506329,0.004746835443037975,0.3333333333333333,0.4873417721518987,0.37337662337662336,0.07120253164556962,0.4222222222222222,0.39556962025316456,0.268,0.03481012658227848,0.2727272727272727,0.0031645569620253164,,36.1441140650856,-95.94217996167805
49,Washington,1457,638,0.4378860672614962,0.01029512697323267,0.4666666666666667,0.9045984900480439,0.44309559939301973,0.04804392587508579,0.42857142857142855,0.03088538091969801,0.3111111111111111,0.004804392587508579,0.42857142857142855,0.0,,38.89089989987364,-76.98669027069876
