,City,Year,Total Murders,Unsolved Murders,Unsolved Murder %,% Total Asian,% Unsolved Asian,% Total Black,% Unsolved Black,% Total Hispanic,% Unsolved Hispanic,% Total White,% Unsolved White,% Total Other,% Unsolved Other,% Total Unknown,% Unsolved Unknown
0,Chicago,2015,525,396,0.7542857142857143,0.0006863417982155113,1.0,0.28414550446122167,0.7753623188405797,0.05833905284831846,0.6941176470588235,0.05833905284831846,0.5909090909090909,0.0006863417982155113,,0.0013726835964310226,1.0
0,Chicago,2016,828,711,0.8586956521739131,0.0013726835964310226,0.5,0.4461221688400824,0.8676923076923077,0.091283459162663,0.8345864661654135,0.091283459162663,0.8048780487804879,0.0006863417982155113,1.0,0.0006863417982155113,1.0
0,Chicago,2017,706,647,0.9164305949008499,0.0006863417982155113,1.0,0.38846945778997943,0.9204946996466431,0.0789293067947838,0.9217391304347826,0.0789293067947838,0.782608695652174,0.0,,0.0006863417982155113,1.0
0,Cincinnati,2007,71,27,0.38028169014084506,0.0,,0.041866849691146193,0.39344262295081966,0.0006863417982155113,1.0,0.0006863417982155113,0.2222222222222222,0.0,,0.0,
0,Cincinnati,2008,81,32,0.3950617283950617,0.0,,0.041866849691146193,0.47540983606557374,0.0013726835964310226,,0.0013726835964310226,0.11764705882352941,0.0006863417982155113,1.0,0.0,
0,Cincinnati,2009,60,25,0.4166666666666667,0.0,,0.038435140700068635,0.42857142857142855,0.0,,0.0,0.3333333333333333,0.0006863417982155113,,0.0,
0,Cincinnati,2010,74,24,0.32432432432432434,0.0,,0.043239533287577216,0.3333333333333333,0.0,,0.0,0.2727272727272727,0.0,,0.0,
0,Cincinnati,2011,71,33,0.4647887323943662,0.0,,0.04735758407687028,0.4782608695652174,0.0,,0.0,,0.0,,0.0,
0,Cincinnati,2012,56,22,0.39285714285714285,0.0,,0.032944406314344546,0.4166666666666667,0.0,,0.0,0.2857142857142857,0.0006863417982155113,,0.0,
0,Cincinnati,2013,80,41,0.5125,0.0,,0.048730267673301304,0.5633802816901409,0.0,,0.0,,0.0006863417982155113,1.0,0.0006863417982155113,
0,Cincinnati,2014,66,33,0.5,0.0,,0.03980782429649966,0.5,0.0006863417982155113,1.0,0.0006863417982155113,0.3333333333333333,0.0006863417982155113,1.0,0.0,
0,Cincinnati,2015,38,17,0.4473684210526316,0.0006863417982155113,1.0,0.022649279341111873,0.45454545454545453,0.0,,0.0,0.25,0.0,,0.0,
0,Cincinnati,2016,66,40,0.6060606060606061,0.0,,0.033630748112560054,0.673469387755102,0.0006863417982155113,1.0,0.0006863417982155113,0.35714285714285715,0.0013726835964310226,0.5,0.0,
0,Cincinnati,2017,76,38,0.5,0.0,,0.0425531914893617,0.532258064516129,0.0,,0.0,0.3076923076923077,0.0006863417982155113,1.0,0.0,
0,Columbus,2007,84,39,0.4642857142857143,0.0,,0.04049416609471517,0.5084745762711864,0.0006863417982155113,1.0,0.0006863417982155113,0.36363636363636365,0.0013726835964310226,,0.0,
0,Columbus,2008,116,70,0.603448275862069,0.0,,0.05628002745367193,0.6097560975609756,0.002745367192862045,0.5,0.002745367192862045,0.6071428571428571,0.0013726835964310226,0.5,0.0,
0,Columbus,2009,90,44,0.4888888888888889,0.0,,0.03912148249828414,0.43859649122807015,0.002745367192862045,0.25,0.002745367192862045,0.6206896551724138,0.0,,0.0,
0,Columbus,2010,113,45,0.39823008849557523,0.0,,0.05490734385724091,0.3125,0.002059025394646534,0.6666666666666666,0.002059025394646534,0.6071428571428571,0.0013726835964310226,0.5,0.0,
0,Columbus,2011,96,58,0.6041666666666666,0.0,,0.045298558682223745,0.6818181818181818,0.002745367192862045,0.25,0.002745367192862045,0.4090909090909091,0.002059025394646534,0.6666666666666666,0.0006863417982155113,1.0
0,Columbus,2012,96,62,0.6458333333333334,0.0,,0.04804392587508579,0.7142857142857143,0.002059025394646534,0.6666666666666666,0.002059025394646534,0.43478260869565216,0.0,,0.0,
0,Columbus,2013,100,50,0.5,0.0006863417982155113,,0.04804392587508579,0.5571428571428572,0.0006863417982155113,,0.0006863417982155113,0.38461538461538464,0.0013726835964310226,0.5,0.0,
0,Columbus,2014,97,50,0.5154639175257731,0.0,,0.050102951269732326,0.5342465753424658,0.0013726835964310226,0.5,0.0013726835964310226,0.45,0.0013726835964310226,0.5,0.0,
0,Columbus,2015,107,54,0.5046728971962616,0.0,,0.048730267673301304,0.5070422535211268,0.00549073438572409,1.0,0.00549073438572409,0.38461538461538464,0.0013726835964310226,,0.0,
0,Columbus,2016,111,50,0.45045045045045046,0.0,,0.05696636925188744,0.4578313253012048,0.002745367192862045,0.75,0.002745367192862045,0.375,0.0,,0.0,
